Grupo|Entente|TipoBloco|Message|TipoMsg
p-conta-banking|perguntas-custos|Carrosel Vertical|Voltar|title
p-conta-banking|perguntas-custos|Carrosel Vertical|Outros|title
p-conta-banking|txt-perguntas-custos|Lógica|Saída|title
p-conta-banking|txt-perguntas-custos|Lógica||title
p-conta-banking|perguntas-transacoes|Carrosel Vertical||message
p-conta-banking|perguntas-transacoes|Carrosel Vertical|Transação recusada|title
p-conta-banking|perguntas-transacoes|Carrosel Vertical|Transação processando|title
p-conta-banking|perguntas-transacoes|Carrosel Vertical|Transação cancelada|title
p-conta-banking|perguntas-transacoes|Carrosel Vertical|Transação não reconhecida|title
p-conta-banking|perguntas-transacoes|Carrosel Vertical|Estorno|title
p-conta-banking|perguntas-transacoes|Carrosel Vertical|Voltar|title
p-conta-banking|perguntas-transacoes|Carrosel Vertical|Outros|title
p-conta-banking|txt-transacoes|Lógica|Saída|title
p-conta-banking|txt-transacoes|Lógica||title
p-conta-banking|perguntas-transf|Carrosel Vertical||message
p-conta-banking|perguntas-transf|Carrosel Vertical|ACH|title
p-conta-banking|perguntas-transf|Carrosel Vertical|Transferências P2P|title
p-conta-banking|perguntas-transf|Carrosel Vertical|Investimentos => Banking|title
p-conta-banking|perguntas-transf|Carrosel Vertical|Voltar|title
p-conta-banking|perguntas-transf|Carrosel Vertical|Outros|title
p-conta-banking|txt-transf|Lógica|ACH|title
p-conta-banking|txt-transf|Lógica|Transferências P2P|title
p-conta-banking|txt-transf|Lógica|Investimentos => Banking|title
p-conta-banking|txt-transf|Lógica||title
p-conta-banking|pergunta-ach|Carrosel Vertical||message
p-conta-banking|pergunta-ach|Carrosel Vertical|Pagar em dólares|title
p-conta-banking|pergunta-ach|Carrosel Vertical|Receber em dólares|title
p-conta-banking|pergunta-ach|Carrosel Vertical|Transferir dólares|title
p-conta-banking|pergunta-ach|Carrosel Vertical|Voltar|title
p-conta-banking|pergunta-ach|Carrosel Vertical|Outros|title
p-conta-banking|txt-ach|Lógica|Saída|title
p-conta-banking|txt-ach|Lógica||title
p-conta-banking|pergunta-roubo-furto|Carrosel Vertical|Você teve o cartão ou celular roubado, furtado ou perdido? Se sim, selecione uma das opções abaixo:|message
p-conta-banking|pergunta-roubo-furto|Carrosel Vertical|Cartão|title
p-conta-banking|pergunta-roubo-furto|Carrosel Vertical|Celular|title
p-conta-banking|pergunta-roubo-furto|Carrosel Vertical|Contestar compras|title
p-conta-banking|pergunta-roubo-furto|Carrosel Vertical|Voltar|title
p-conta-banking|pergunta-roubo-furto|Carrosel Vertical|Outros|title
p-conta-banking|txt-perda-roubo|Lógica|Saída|title
p-conta-banking|txt-perda-roubo|Lógica||title
p-conta-banking|enviaroutros|Lógica|Saída|title
p-conta-banking|enviaroutros-copy-3|Lógica|Saída|title
p-conta-banking|enviaroutros-copy-4|Lógica|Saída|title
p-conta-banking|enviaroutros-copy-5|Lógica|Saída|title
p-conta-banking|enviaroutros-copy-6|Lógica|Saída|title
p-conta-banking|enviaroutros-copy-7|Lógica|Saída|title
p-conta-banking|enviaroutros-copy-8|Lógica|Saída|title
login|begin-transc|Lógica|Pegar dados|title
login|begin-transc|Lógica|Saída ok|title
login|begin-transc|Lógica|N-OK|title
login|nome|Pergunta||message
login|nome|Pergunta|Saída|title
login|nome|Pergunta|Outros|title
login|email|Pergunta||message
login|email|Pergunta|Saída|title
login|email|Pergunta|Outros|title
login|busca-hash|Lógica|Não Logado|title
login|busca-hash|Lógica|Logado|title
login|busca-hash|Lógica|Erro|title
login|msg-sessao|Mensagem||message
login|msg-sessao|Mensagem|Saída|title
login|erro-n8n|Mensagem|Vamos tentar pegar manualmente suas informações...|message
login|erro-n8n|Mensagem|Saída|title
login|outros-1|Lógica|busca-hash|title
login|outros-1|Lógica|time|title
login|outros-1|Lógica|end|title
login|outros-1|Lógica|outros|title
login|outros-2|Lógica|busca-hash|title
login|outros-2|Lógica|time|title
login|outros-2|Lógica|end|title
login|outros-2|Lógica|outros|title
login|outros-3|Lógica|busca-hash|title
login|outros-3|Lógica|time|title
login|outros-3|Lógica|end|title
login|outros-3|Lógica|outros|title
login|inicia-timer-api|Lógica|OK|title
login|falta-dado|Mensagem||message
login|falta-dado|Mensagem|Saída|title
login|tratamento-nome|Lógica|busca-hash|title
login|tratamento-nome|Lógica|end|title
login|tratamento-nome|Lógica|time|title
login|tratamento-nome|Lógica|outros|title
login|timeout|Mensagem|Sua sessão não foi iniciada devido a sua inatividade.|message
login|timeout|Mensagem|Saída|title
login|end-session|Mensagem|Sua sessão não foi iniciada.|message
login|end-session|Mensagem|Saída|title
login|identifica-singular|Lógica|Relacionamento Singular|title
login|identifica-singular|Lógica|Singular|title
login|identifica-singular|Lógica|Private BR|title
login|identifica-singular|Lógica|Não singular|title
login|doc-opcoes|Múltipla Escolha|Você sabe quais os documentos necessários para abertura?|message
login|doc-opcoes|Múltipla Escolha|Sim|title
login|doc-opcoes|Múltipla Escolha|Não|title
login|doc-opcoes|Múltipla Escolha|Outros|title
login|doc-sim-nao|Lógica|Sim|title
login|doc-sim-nao|Lógica|Não|title
login|ajudo-mais|Múltipla Escolha|Te ajudo em algo mais?|message
login|ajudo-mais|Múltipla Escolha|Sim|title
login|ajudo-mais|Múltipla Escolha|Não|title
login|ajudo-mais|Múltipla Escolha|Outros|title
login|alteracao-dados|Carrosel Vertical|Selecione a opção desejada:|message
login|alteracao-dados|Carrosel Vertical|Alteração e-mail ou telefone|title
login|alteracao-dados|Carrosel Vertical|Alteração de outros dados cadastrais|title
login|alteracao-dados|Carrosel Vertical|Encerramento de conta|title
login|alteracao-dados|Carrosel Vertical|Senha esquecida ou bloqueada|title
login|alteracao-dados|Carrosel Vertical|Outros|title
login|opcoes-alteracao|Lógica|Saída|title
login|opcoes-alteracao|Lógica||title
login|finalizador|Carrosel Vertical|Selecione a opção desejada:|message
login|finalizador|Carrosel Vertical|Especialista digital|title
login|finalizador|Carrosel Vertical|Finalizar atendimento|title
login|finalizador|Carrosel Vertical|Outros|title
login|opcao-nao-doc|Múltipla Escolha|Você sabe como subir eles na plataforma?|message
login|opcao-nao-doc|Múltipla Escolha|Sim|title
login|opcao-nao-doc|Múltipla Escolha|Não|title
login|opcao-nao-doc|Múltipla Escolha|Outros|title
login|estacomdocs-s-n|Múltipla Escolha|Você está com os documentos necessários?|message
login|estacomdocs-s-n|Múltipla Escolha|Sim|title
login|estacomdocs-s-n|Múltipla Escolha|Não|title
